ASIN,MARKETPLACE,REGION,BRAND_NAME,combined_string_full,combined_string_categories,ORGANIC_UNITS_SOLD,SALE_PRICE_EUR
B086T37ZV1,IT,EU,Espring,Industrial & Scientific. Food Service Equipment & Supplies. Ice molds.   GOURMEO whiskey cubes    enjoy a fresh and unaltered whisky  In Irish the word whiskey  uisce beatha  means   water of life    Traditionally  this  aqua vitae  is drunk fresh  on the rocks  by its enthusiasts and connoisseurs  However  cooling with ice cubes has a significant disadvantage  the melting ice waters down the whiskey and changes the taste    GOURMEO whiskey cubes are the solution  drinks they are cooled without being watered down   The cubes are made of 100  marble and granite  They do not dissolve in the glass and the flavor of the drinks therefore remains 100  unaltered  Ready for use already  after a few hours in the freezer  ,Industrial & Scientific. Food Service Equipment & Supplies. Ice molds,2.0217391304347827,15.36
B07GZ818S1,UK,UK,H&S,Industrial & Scientific. Food Service Equipment & Supplies. Customers' Most-Loved Home & Kitchen Mixed Cutlery Sets. NOTE   As made of wood  does not required to meet any Food Safety Standards from FSA UK as its Natural  unlike Glass or Plastic materials which uses chemicals which needs to comply with Food Safety Standards   There is no plastic material used in our packaging  both in our cardboard box  and also in our paper wrap ,Industrial & Scientific. Food Service Equipment & Supplies. Customers' Most-Loved Home & Kitchen Mixed Cutlery Sets,47.50574712643678,10.48302319724138
B07TN75FC1,DE,EU,H&S,"Clothing, Shoes & Jewelry. Novelty & More. Sports-Promotions in. SWEATBANDS THAT PROVIDE ABSORBANCE  DURABILITY AND COMFORT   Our H S sweatbands are made from high quality cotton and spandex so you can wear them at the gym or at Don t lose track of training  The high quality fabric hugs your wrist without feeling restricted  and its flexibility allows you to use it for a variety of applications  such as  B  for running  yoga or just lounging at home   Are you wondering what makes our sweatbands so great and comfortable  We know that it can be frustrating to go through    _too much  _  _too much sweat  _ to lose control  With these 6 pieces of sweat band  _changers you can wick away sweat while proactively protecting your wrists  You can easily wear them throughout your workout without any discomfort as they absorb sweat quickly   Why should you choose H S Schwei  _b  _nder for men and women    The Schwei  _b   _nder are made of high quality cotton and elastane     The sweat bands for the wrist are ideal for football  basketball  running  stretching  etc     Each band is 8 x 8cm tall  _ but stretchy to fit     They are suitable for both hand and machine washing   Our claim   At H S we have set ourselves the goal of improving our customers  lives through our sensible and progressive products of uncompromising quality and integrity improve and enrich  Our innovations respond to our customers  needs and reflect our brand to the outside world  Here we leverage the best of our collective expertise to provide our customers with best in class solutions at all times    _translated with www DeepL com Translator  free version ","Clothing, Shoes & Jewelry. Novelty & More. Sports-Promotions in",18.48837209302325,8.862093023255813
B07JHNHW2K,UK,UK,H&S,"Office Products. Office & School Supplies. Clips, Clamps & Rings. Our Foldback Clips can easily store your documents together  with its steel material for strength which can hold up to 140 of sheets  80gsm   Perfect for organising those annoying paperwork   Features     The Foldback Clips are made of steel for strength while storage    Simple but effective function  fold to secure large quantity of paper securely    Can store up to 140 of sheets  80gsm     Suitable for any location  Office  Workplace  Schools  or even Home use   Measurements     2   51mm  width   Package Contents     10 x Foldback Clips ","Office Products. Office & School Supplies. Clips, Clamps & Rings",19.61627906976744,7.046075940372093
B07WTXZ2JC,US,US,H&S,Office Products. Office & School Supplies. Kraft Paper. H S Brown Paper Tags for Wedding Gifts   120pcs Brown Gift Tags with String for Christmas   Plain   Heart Shape Cut Brown Tags with String for Decoration  TIME TO ADD A PERSONAL TOUCH TO YOUR GIFTS   Struggling with a gift tag that has no jute twine attached  Well  we have got you all covered with our brown kraft tags that come with a jute string attached and the card paper is moderately thick  sturdy  and hard to crack  Also  these tags come in two variants  60 plain and 60 have a heart shape cut out   CARD PAPER TAGS THAT CAN BE PERSONALISED   Looking for vintage and unique gift tags with strings attached for making your Christmas present look more aesthetic  These H S brown parcel tags are an ideal way to personalize your message with some special creations  You can use these kraft paper tags are perfect for clothing tags  wedding name tags  cupcake toppers  message cards  thank you cards  and more   Why choose H S Gift Tags with Strings   The 120pcs gift tags are made from 300gsm card paper   They are easily customizable for any occasion   The dimensions of each tag are 4cm x 7cm  also they come with a jute string attached   The package includes two variants  60 Plain and 60 Heart Shape Cut outs   Our Mission   Here at H S  We aim to improve and enrich people  _s lives through our meaningful and advanced products of uncompromising quality and integrity  Our innovations respond to our customer  _s needs and reflect our brand to the external world  Here we harness the best of our collective expertise to deliver world class solutions to our people at all times  ,Office Products. Office & School Supplies. Kraft Paper,0.8888888888888888,5.476342790777777
B0739F745J,UK,UK,H&S,"Clothing, Shoes & Jewelry. Women. Customers' Most-Loved Beauty Beauty Challenge. A pack of 100 elastic hair bobbles   bands  that can be used for kids or adults  its non metal ties keeps it from catching or pulling your hair  and can be easily to put on  and remove without any troubles    Features     Multicolour hair elastic bands   bobbles   ties for that perfect look or occasion  total of 10 colours  10 of each colour    Non metal hair ties   freedom to use without any snags or pulls to your hair    The super stretch core means these hair elastics stretch further than a normal hair elastics so are perfect for thicker hair types or for providing a more secure hold    The ponytail holders   hair elastic bands are suitable for girls  women  kids and adults   Measurements     Thickness 4mm    Dia  50mm   Package Contents     100 x Hair Elastic Bands ","Clothing, Shoes & Jewelry. Women. Customers' Most-Loved Beauty Beauty Challenge",2.5647058823529414,4.684637485035294
B07DPRTTQ9,IT,EU,H&S,Industrial & Scientific. Food Service Equipment & Supplies. Reusable straws. H S Reusable Stainless Steel Straw Set for Drink Lovers   Eco Friendly Rainbow Colored Straws for Hot and Cold Drinks   8 Piece Metal Straw Set IT S TIME TO IMPROVE THE WAY YOU CONSUME DRINKS  Are you guilty of serving your guests with straws that contain plastic and can harm the environment  as plastic Does it decompose longer than stainless steel  Our H S 8 Pack Reusable Straws with 2 Cleaner Tubes are here to make your party more eco friendly without compromising the quality of the straws  DISCOVER A NEW HAPPINESS WITH EVERY NEW SIP  Our long straws are available in different colors and are ideal for any hot or cold drink  Are you planning to organize a colorful themed party this time  It s time to make your plan come true with our set of stainless steel straws  Why choose reusable stainless steel straws    The Our rainbow colored straws are made of non toxic stainless steel   They can be used on occasions such as weddings  birthdays  Christmas and other special occasions    The straws are eco friendly and reusable  so they do not harm the environment    They are suitable for hot and cold drinks  ,Industrial & Scientific. Food Service Equipment & Supplies. Reusable straws,1.0,9.29
B0857K4ZDQ,IT,EU,Espring,"Arts, Crafts & Sewing. Painting, Drawing & Art Supplies. Tracing paper.      WINTEX glossy paper     WINTEX glossy paper is white transparent in color and is suitable for various activities  arts at school  at work or in your free time       Highlights      Flexible  thanks to the weight of 100 g m2  the glossy paper from WINTEX is robust and flexible at the same time  Classic size  with the dimensions of 420 x 297 mm  the glossy paper corresponds to the DIN A3 size and is therefore equipped with a classic Versatility  the WINTEX glossy paper is perfectly suitable for drawing  crafting or painting both at school and at work Large quantity  the package contains 50 sheets  and is therefore excellent for starting Simple colour  the glossy paper is white and It is therefore an excellent basis for different types of work","Arts, Crafts & Sewing. Painting, Drawing & Art Supplies. Tracing paper",0.2857142857142857,22.52928571428572
B00C1S9C4Y,UK,UK,H&S,Sports & Outdoors. Outdoor Recreation. Keyed Padlocks. This high security closed shackle padlock with hardened steel closed shackle and solid hardened steel body makes this a high security padlock recommended for gates  warehouses and very high risk exposed areas  This is one of the toughest locking  applications in the market    Features    Solid hardened steel body   Hardened boron alloy steel closed shackle   Inner mechanism for maximum corrosion protection   For gates  warehouses and very high risk exposed areas   Large number of key combinations  Comes with 5 latest technology keys   Measurements    Body  60mm x 40mm   Thickness  18mm   Shackle Dia  10mm   Package Contents    1 x Padlock   5 x Keys ,Sports & Outdoors. Outdoor Recreation. Keyed Padlocks,65.0813953488372,9.724955393802324
B07GN1J9RV,DE,EU,H&S,Home & Kitchen. Kitchen & Dining. Mess spoon set in.  H S 5 piece tea spoon set made of stainless steel   professional measuring spoon for measuring dry and wet ingredients   kitchen accessories   r sp  _lmachine safe  With the serving spoon set from H S  your dishes will always be exactly as you imagine them  Wet and dry ingredients can be measured easily and new recipes become child s play   F  _R ACCURATE MEASUREMENT OF INGREDIENTS WHEN COOKING   BAKING   The measuring spoons made of stainless steel are equipped with different units of measure and thus allow ingredients to be measured quickly  1tbsp   15ml   1 2tbsp   7 5ml  1tsp   5ml  1 2 tsp   2 5ml  1 4tsp   1 25ml  Why you want the H S measuring spoon  _ffel set   _should     Cleaning the measuring spoon set is particularly easy     The portion spoons are available in a variety of useful sizes  _ltlich     Ring included in delivery for space saving storage of the baking cups     Perfect as a gift for the baking enthusiasts among you   Our claim   At H S we have set ourselves the goal of improving our customers  lives through our sensible and progressive products of uncompromising quality and integrity improve and enrich  Our innovations meet the needs of our customers and reflect our brand to the outside world  Here we leverage the best of our collective expertise to provide our customers with best in class solutions at all times   ,Home & Kitchen. Kitchen & Dining. Mess spoon set in,0.3692307692307692,6.99
B071KX221S,US,US,H&S,Home & Kitchen. Storage & Organization. Standard Hangers. H S Closet Organization Hangers Hooks with Metal Construction    Pack of 6  Wardrobe Hangers Hooks for Home   Hotels   Wardrobe Hangers for Space Saving  TIME TO SAVE SPACE IN YOUR WARDROBE   Want to keep your clothes organized and in one place all the time  Our H S Metal hanger hooks are meant to perfectly keep your space neat and clean  These closet hooks can keep the hangers in place that making them gentle enough to prevent creases  You can place them anywhere you want to organize clothes   YOUR ULTIMATE AND DURABLE STORAGE SOLUTION   Looking to invest in high quality hanger hooks to streamline your closet  H S  pack of 6  closet hanger hooks upgrade your wardrobe to the next level by keeping your clothes at their finest and maximizing your closet space  The heavy duty metal construction optimizes your storage space and gives your wardrobe an organized and uniform look   Why choose H S Wardrobe Organizer Hanging Hooks   The H S hanger hooks are made out of durable  waterproof  and heavy duty metal   Our magic clothes hangers with 6 nickel plated hooks are ideal for hanging a variety of garments   They help to save more space for your closet with efficient and space saving design   These coat hanger hooks can be used both horizontally and vertically   Our Mission   Here at H S  We aim to improve and enrich people  _s lives through our meaningful and advanced products of uncompromising quality and integrity  Our innovations respond to our customer  _s needs and reflect our brand to the external world  Here we harness the best of our collective expertise to deliver world class solutions to our people at all times  ,Home & Kitchen. Storage & Organization. Standard Hangers,0.8536585365853658,9.78958870509756
B08Q42K5PK,ES,EU,Tritart,"Arts, Crafts & Sewing. Painting, Drawing & Art Supplies. Dyes. Tritart Set of 22 Soap Dyes  These slime dyes of different colors are non toxic  do not stain and are gentle on the skin  So you don t have to worry about using them in your cosmetics  Thanks to its water solubility and the ability to mix the colors with a little oil  you don t have to worry about annoying residue in the bathroom  Warning  The color of the soap is safe and pleasant for the skin  but not suitable for consumption   Gift ideas with a personal touch  With homemade gifts you can easily show your love to your loved ones  Personalize your gift ideas with our color kit  Treat yourself or your loved ones to homemade bath bombs  make your own cosmetics with this soap set or have fun with your kids  use it as a bath bomb set  slime and make your own slime  Show your artistic talent and try many new ideas  Overview of our soap colors    Non toxic and hypoallergenic    Multipurpose    In boxes with closure    Quick and easy mixing    Not suitable for consumption    Orange soap    Yellow soap    Green soap    Lilac soap    Red soap    Brown soap    Cherry red soap    Light blue soap    Pink soap    Brick red soap    Dark blue soap    Dark red soap    Soap  _n brown color  _   Fruity green soap    Taro lilac soap dye    Orange and red soap    Black and green soap    Purple grape colored soap    Sunset Yellow Soap Dye    Dark green soap    Pink soap    Black soap ","Arts, Crafts & Sewing. Painting, Drawing & Art Supplies. Dyes",1.7846153846153847,10.420769230769231
B071W1B6L3,DE,EU,Espring,Sports & Outdoors. Exercise & Fitness. Sports-Promotions Pumps & Accessories. EVEREST FITNESS ball pump setUnfortunately  each of us has experienced the disappointing moment when you started playing and the ball wasn t quite inflated  Thanks to the pump s compact design  you can easily store it away and always have it with you  Our set also offers a hose and a replacement needle  The tube prevents the needle from bending or breaking  This means that our pump  just like you  can always appear top fit   for the game Highlights   Our pump is suitable for many types of balls and is therefore the perfect one Universal player   The ergonomic design makes it child s play   The included hose ensures the longevity of the needle   The compact design is perfect for most people Sports bags   EVEREST   POWER YOUR DAYWhat s in the package 1 x 30cm ball pump1 x removable air hose2 x spare needle,Sports & Outdoors. Exercise & Fitness. Sports-Promotions Pumps & Accessories,1.4567901234567902,9.79
B01IHT0V18,IT,EU,Espring,Home & Kitchen. Appliances & Accessories. Yogurtiere.   10031  10031 GOURMEO YOGURMEER   10031  10031 With the GOURMEO yogurt maker  which does not require electricity  making fresh yogurt will be simple  very simple even at home    10031  10031 HIGHLIGHTS   10031  10031   Original kitchen tool  with this practical appliance  cooking lovers and gourmets can make healthy yogurt yourself and individually  which can  be consumed pure  natural or used as a base for different variations of fresh yogurt with fruit  jam and cereals    Long shelf life  homemade yogurt can  be stored in the refrigerator for about a week    Mode  of ecological preparation  thanks to the yoghurt maker  those who want to eat healthy do not need to go to the supermarket and save electricity and packaging material  This yogurt production method is certified  economical and ecological    Dimensions  yogurt maker  22 cm  height 16 cm  internal container   16 cm  height 9 cm,Home & Kitchen. Appliances & Accessories. Yogurtiere,0.0350877192982456,33.43666666666667
B07D3RXR76,DE,EU,Tritart,"Arts, Crafts & Sewing. Painting, Drawing & Art Supplies. Aquarellpapier.   On one side the watercolor block is smooth  on the other side the watercolor block is rough  This makes the 300g watercolor cardboard versatile    A3 matt watercolor pad with erasable surface    Our A3 watercolor paper was also glued to the top side    Watercolor painting pad with excellent quality Color absorption ability   Our 300g watercolor blocks are particularly sturdy    High quality watercolor painting block from Tritart   Grab it now  ","Arts, Crafts & Sewing. Painting, Drawing & Art Supplies. Aquarellpapier",1.3658536585365857,25.443658536585367
B00C01Z4BC,DE,EU,H&S,Industrial & Scientific. Occupational Health & Safety Products. in Safety warning tapes. TIME TO CREATE CALENDARS AND GRIDS FOR YOUR PROJECT   Our 3 mm x 50 m self adhesive tapes are not only suitable for  _r grids and draping  but can also be used to decorate laptops  pen holders and even walls  Offering many creative possibilities  they are strong and durable so they can be layered on top of each other for greater creative effect  You can also quickly decorate your journal pages with the whiteboard stickers   YOUR ULTIMATE GRID BOARDS FOR ALL YOUR ARTWORK  This set of black  blue and red whiteboard tape has an adhesive that works well on craft projects and Paper sticks  is easy to reposition  and can be torn off with your hands without having to use scissors  The whiteboard tape can be repositioned without sticky residue and is therefore suitable for both adults and children  Why should you Choose the self adhesive vinyl grid tape from H S    These black  blue and red whiteboard tapes are self adhesive and therefore easy to use     Each tape has a width of 3mm and a length of 50 meters    They are ideal for any type of grid  table or guidelines on dry wipes   _chern and magnetic boards to create     The package contains 1x Black Ribbon  1x Blue Ribbon   1x Red Ribbon   Our claim   At H S we have set ourselves the goal of improving our customers  lives through our sensible and progressive products of uncompromising quality and integrity improve and enrich  Our innovations respond to our customers  needs and reflect our brand to the outside world  Here we leverage the best of our collective expertise to provide our customers with best in class solutions at all times ,Industrial & Scientific. Occupational Health & Safety Products. in Safety warning tapes,1.15,4.2525
B01G9KXXGM,UK,UK,H&S,Sports & Outdoors. Exercise & Fitness. Knives & Tools Pocket Knives. Features     H S Butterfly Training Knife is made of stainless steel  high quality product   No offensive blade  beautifully engraved dragon design   It is heavy  170g  and good for beginners to learn with  strong feeling in hand   The blade is not sharp and it cannot be sharpened due to the design   This is a great trainer to practice your flipping without having to worry about cutting yourself   It comes with a strong belt case Measurements     Overall Length  23 3cm   Blade Length  9 8cm   Handle Length  14cm    Handle Thickness  1cm    Handle Width  2cm    Weight  170g  Package Contents     1 x Butterfly Training Knife    1 x Belt Case,Sports & Outdoors. Exercise & Fitness. Knives & Tools Pocket Knives,9.27906976744186,11.57763520232558
B08ZXT53T4,DE,EU,Espring,Home & Kitchen. Kitchen & Dining. baking paper. GOURMEO PERMANENT BAKING FILM Whether cake  cookies  pizza  frozen food or bread   With the GOURMEO permanent baking foil you are well advised and save yourself the ongoing costs of having to buy new baking paper again and again  PRODUCT INFORMATION AT A GLANCE    WITHOUT ADDITIONAL FAT  The non stick coating makes the addition of oil or grease spray on the GOURMEO permanent baking foil unnecessary  This means you can prepare all dishes with fewer calories      REUSABLE   CUT TO CUT  With scissors you can easily adapt the baking paper to your baking trays and baking tins      VERSATILE  Suitable for electric ovens  gas ovens and in the microwave  Heat resistant up to 260       EASY TO CLEAN  Can be easily washed in the dishwasher  Then let it air dry ,Home & Kitchen. Kitchen & Dining. baking paper,0.7833333333333333,19.99
B01JIVXOUO,US,US,Espring,Home & Kitchen. Kitchen & Dining. Grill Baskets. GOURMEO BBQ Smoker Basket for Grilling Accessories   Veggie Tray for Roasting Sticks and Meat   Grilling Basket for Camping Cooking Accessories  A BETTER GRILLING EXPERIENCE  Do you like to eat all your veggies grilled  But tired of losing half of your food to the grill  If yes then GOURMEO Grill Basket is the perfect solution for you  This grill pan allows you to grill as many vegetables as you without getting worried about the veggies falling through the gaps ingrates  You can use it not only on charcoal grills but also in the oven or even on gas as well  VERSATILE BBQ ACCESSORIES LIKE NEVER BEFORE  Still  suffering from veggies dropping through your grates  Storing vegetables is now more convenient than ever when they are in GOURMEO fish basket for grilling  All in all  this BBQ basket is designed to make the task of grilling vegetables quite easy for you  The heavy duty construction helps it stand out and due to the perforations  you can be sure that the grill flavor will go into the vegetables  HIGHLIGHTS    The perforated bottom of the basket lets the heat flow from side to side and allows it to drip off    The veggie platter can be easily cleaned in the dishwasher    It is suitable for both gas and charcoal barbecue grills    Works perfectly for BBQ  garden  and grill parties as well as for serving and arranging food  OUR MISSION  Here at GOURMEO  We aim to bring you the best solutions for your ultimate cooking passion  The grill basket brings convenience above all and doesn t need any additional preparation before use  Once you re done baking  the tray will cool quickly  allowing you to easily handle it  It is the best and leading quality you have in the market that is both cost effective and hassle free  ,Home & Kitchen. Kitchen & Dining. Grill Baskets,0.72,15.301550752533334
B07DW2WX4N,UK,UK,H&S,"Arts, Crafts & Sewing. Painting, Drawing & Art Supplies. Elastic Bands Customers’ Most Loved: Home and Kitchen. Our Elastic Ribbon  is suitable for many Arts and Crafts even dress ware alterations  Durable and Flexible materials not only give it is look  but also satisfaction this will not only suitable  but essential for your needs   Features     24mm width elastic  making it ideal for medium to larger garments  providing a sturdy  thick elastic band to fit a variety of garments    This black elastic is soft  flexible  but durable    Suitable for various arts and craft like  dressmaking general alterations  wristbands etc     You ll be able to add stretch to any garment with ease   Measurements     Width 24mm    Length 10 meters      Package Contents     1 x Roll of Elastic Ribbon  10 meters  ","Arts, Crafts & Sewing. Painting, Drawing & Art Supplies. Elastic Bands Customers’ Most Loved: Home and Kitchen",6.906976744186046,5.783022987488372
B015H6NFPS,DE,EU,Espring,Home & Kitchen. Bath. Bath mats. Enjoy the particularly soft and attractive bathroom mat from VALENO every day These doormats are specially made from the finest 100  cotton and are available in different colors so that they are easy to put on to match the style and decor of your bathroom  They can also be used in many places  They can be placed not only outside the bath or shower  but also next to the sink and anywhere else in the bathroom and any other area of   the house  These are also the perfect gift for Christmas  Easter and or any other occasion  Easy care and long lasting bath matTowels are the key to our comfortable lifestyle and our health and our general well being  For this reason  it is important to strive for first class quality  Cotton is the textile with the highest water absorption capacity and is therefore the first choice for our terry products  The cotton rugs are hemmed all around  which ensures a particularly long durability  VALENO terry towels are extremely easy to care for  They are washable up to 40  C and the carpets do not lose their material thickness even after frequent washing in the washing machine  Dimensions of the doormat50 x 70 cm  thickness  without borders   0 3 cm Color selection AnthraciteLight blueLight grayBlackWhite  p,Home & Kitchen. Bath. Bath mats,1.32,13.49
